"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/i18n/translate.js", "JavaScript", 4, 0, 5, 1, 10
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/RootNavigator.js", "JavaScript", 27, 0, 0, 4, 31
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/constants/routes.js", "JavaScript", 17, 0, 0, 1, 18
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/constants/stacks/AuthStack.js", "JavaScript", 33, 0, 0, 3, 36
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/constants/stacks/HomeStack.js", "JavaScript", 46, 0, 0, 3, 49
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/constants/stacks/IntroStack.js", "JavaScript", 3, 0, 0, 2, 5
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/constants/stacks/ProfileStack.js", "JavaScript", 42, 0, 0, 2, 44
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/constants/stacks/YesterdayStack.js", "JavaScript", 9, 0, 0, 2, 11
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/index.js", "JavaScript", 3, 0, 0, 2, 5
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/navigators/AuthNavigator.js", "JavaScript", 27, 0, 0, 4, 31
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/navigators/HomeNavigator.js", "JavaScript", 109, 0, 1, 10, 120
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/navigators/IntroNavigator.js", "JavaScript", 26, 0, 0, 4, 30
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/navigators/ProfileNavigator.js", "JavaScript", 26, 0, 0, 4, 30
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/navigation/navigators/YesterdayNavigator.js", "JavaScript", 27, 0, 0, 4, 31
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/providers/AuthProvider.js", "JavaScript", 94, 0, 2, 15, 111
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/CameraScreen/CameraScreen.js", "JavaScript", 409, 0, 6, 31, 446
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/HomeScreen/HomeScreen.js", "JavaScript", 63, 0, 0, 6, 69
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/InfoScreen/InfoScreen.js", "JavaScript", 6, 0, 0, 2, 8
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/LikedPostsScreen/LikedPostsScreen.js", "JavaScript", 54, 0, 69, 8, 131
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/LoginScreen/LoginScreen.js", "JavaScript", 97, 0, 0, 5, 102
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/NotificationScreen/NotificationScreen.js", "JavaScript", 6, 0, 0, 3, 9
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/PostsScreen/PostsScreen.js", "JavaScript", 47, 0, 0, 5, 52
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/ProfileScreen/ProfileScreen.js", "JavaScript", 181, 0, 47, 13, 241
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/SettingsScreen/SettingsScreen.js", "JavaScript", 32, 0, 0, 5, 37
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/SignUpScreen/SignUpScreen.js", "JavaScript", 102, 0, 0, 5, 107
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/WelcomeScreen/WelcomeScreen.js", "JavaScript", 81, 0, 0, 3, 84
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/YesterdayScreen/YesterdayScreen.js", "JavaScript", 139, 0, 0, 10, 149
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/screens/index.js", "JavaScript", 26, 0, 0, 1, 27
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/theme/ThemeContext.js", "JavaScript", 3, 0, 0, 3, 6
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/theme/ThemeProvider.js", "JavaScript", 40, 0, 0, 6, 46
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/theme/darkTheme.js", "JavaScript", 26, 0, 6, 6, 38
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/theme/defaultTheme.js", "JavaScript", 5, 0, 0, 1, 6
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/theme/index.js", "JavaScript", 6, 0, 0, 1, 7
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/theme/lightTheme.js", "JavaScript", 24, 0, 61, 1, 86
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/theme/theme.js", "JavaScript", 10, 0, 0, 2, 12
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/utils/countries.js", "JavaScript", 0, 0, 0, 1, 1
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/utils/date.js", "JavaScript", 46, 0, 0, 9, 55
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/utils/index.js", "JavaScript", 2, 0, 0, 1, 3
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/utils/showSnackbar.js", "JavaScript", 21, 0, 0, 3, 24
"Total", "-", 4015, 66, 225, 417, 4723
